Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2-5-2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Australia;AUS;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;85.90669211;86.25191181;87.06993432;87.12821769;87.97580659;88.04199102;89.24176867;89.50084988;90.10461479;90.26962043;91.53110974;91.17777519;91.30558851;92.09782489;91.82731596;91.78090793;91.88762258;92.67901978;92.6549894;92.82094107;93.18251205;92.7755789;92.92544559;92.84942864;93.20671426;92.87885473;93.42174246;93.73860918;93.57842828;93.85217111;93.91128569;93.68871804;94.34266007;93.75834561;93.88648312;93.83177017;93.64822076;93.51265089;93.87865071;93.92791207;93.95772608;93.74112717;93.69344851;93.88602451;94.06821267;94.21585218;94.28091386;94.29310395;94.34729003;95.51005853;95.20648145;94.99566496;94.29569942;93.89566844;93.32190255;
Austria;AUT;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;85.44074709;86.60941401;87.40390523;87.86942422;89.08839987;87.97762183;87.48781591;87.74547222;88.49453945;89.51175848;88.99204258;90.19969369;90.12373159;89.77446241;88.65248261;88.39898889;89.59968424;88.19236191;87.6089529;87.0076278;85.89521616;83.96376022;82.74158706;82.44589222;81.83511433;81.04281229;79.74839656;79.57885811;74.69315383;76.54434928;79.09258541;79.08617716;77.19133435;76.96300734;77.53953899;77.93423431;78.14622863;78.36809609;78.46836387;76.54974313;76.48145294;76.84273293;77.32555986;78.52932535;77.95071535;76.9980056;74.69790824;72.70175906;71.59318898;69.6794666;70.12009914;69.08669158;66.58973845;66.11583769;64.65874941;
Azerbaijan;AZE;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99.90499422;99.90295269;99.32101065;98.58502553;98.66479606;98.65973318;98.39426687;97.89809801;98.23795384;98.0526344;98.28790192;98.39211829;97.31467397;96.94923599;97.13499898;97.11654376;97.60562064;97.76469853;98.30247707;97.91653071;96.93249161;97.86257155;98.47670157;98.21123272;;
Burundi;BDI;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belgium;BEL;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;99.92205858;;;;;99.92680008;99.93043176;99.78853644;99.90091909;;99.82882528;;;;99.89391042;95.91331199;94.81361983;93.22929388;93.45493634;93.96135351;93.31781526;92.03893617;89.88439231;84.38106338;82.66877761;79.1509524;77.06576913;76.44918324;76.08510889;77.01784999;75.98865163;76.6304865;76.17933283;76.18766468;77.81713133;77.56066785;77.8459212;76.14044525;77.27778344;76.00907486;76.09275599;75.88584247;74.84628001;75.57975979;75.35541682;75.02250473;74.11784645;72.89996541;73.69302996;73.09498964;73.49506918;70.90315069;71.3533559;71.07026669;72.74104957;
Benin;BEN;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;9.040451484;11.42247897;11.45027192;11.58091385;12.30839253;7.695408166;8.929074901;9.82017818;9.725734544;9.697903959;7.291784698;8.537323903;8.283183918;8.485301614;10.15165973;8.716482354;7.521614691;7.277810088;5.457824396;4.838998023;3.854705081;3.93128468;3.835510654;3.865559423;3.780880657;13.33205008;17.32187486;17.33049548;21.00728423;25.48618782;27.46527702;29.64712259;32.0774443;32.8223794;31.04976023;36.32541119;39.66925034;39.07586139;39.80167892;41.55418574;41.65379602;42.22296894;42.877935;;
Burkina Faso;BFA;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bangladesh;BGD;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;21.37970843;20.70642323;24.21142072;25.44941545;24.68487268;27.4255112;27.29295886;28.23405541;29.42090283;32.14606925;32.71261599;34.96024073;33.38567736;34.91556523;37.32672746;39.08684745;43.8731951;44.18503533;45.0727052;45.52428698;44.67103918;46.72802762;49.45684214;50.25109694;54.40918593;56.07741741;56.57335085;57.62886784;57.27512604;57.96678619;60.77607638;61.13683972;62.52912398;62.73459904;63.58810542;65.56388489;66.67023767;67.84642176;69.29787292;71.24555015;71.95927518;72.96940136;73.16530069;;
Bulgaria;BGR;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;97.5216128;97.35576063;96.39014523;95.28549317;93.87004844;91.36211266;90.92420753;91.41816152;91.42822004;91.36310762;88.04475754;87.47751672;86.37279483;86.13704995;85.65053494;86.75327583;86.78503772;84.21011574;84.92396832;84.12115557;81.87300483;82.48892414;81.91968186;79.84780036;78.77100169;77.48124012;76.82164659;76.14153183;74.73726206;72.38504117;73.14546314;70.46655611;74.09060224;73.97692939;72.96125478;72.47924391;77.72065833;76.14213638;73.02381788;73.16077824;75.0390919;72.18710039;70.1868947;;
Bahrain;BHR;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;100;100;;100;99.99995972;;99.9999669;100;99.99996778;;100;100;99.99997597;100;;100;99.99997972;;99.99998059;100;;99.99998425;99.99998445;;;100;;100;100;100;100;99.99998894;99.99999035;99.99765555;99.9903633;;99.88179199;99.88146216;99.91793513;;99.98934864;;
Bahamas; The;BHS;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;0;0;0;;;;;;;
Bosnia and Herzegovina;BIH;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93.92556938;93.78245011;91.17220052;89.58488974;67.39492788;67.98200762;72.99470787;84.74508396;85.61244939;84.80497789;87.89389885;87.29585731;87.74904709;88.87669927;89.0009852;88.50970947;90.49292978;91.07144944;92.31931424;92.60429081;91.65263533;93.99664295;91.94780332;92.50400217;;
Belarus;BLR;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95.61863185;95.30931291;95.28447313;94.8614641;94.6243203;93.09691962;92.16835137;92.38222568;91.2963115;92.24416123;91.6224497;91.230334;92.02802138;92.19085063;93.5856553;92.67264293;92.58393391;92.34180176;93.18677185;91.77907181;91.99553597;91.3924706;91.04727046;90.67204031;;
Belize;BLZ;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;0;0;0;;;;;;;;
Bermuda;BMU;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia;BOL;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;73.36639551;73.52758181;73.86949538;74.97644883;76.8642379;76.94691144;77.50140374;78.92105507;80.12988161;66.140549;64.85040974;64.45171631;60.79972594;60.67119925;59.60049115;56.75691896;66.16261978;64.00765197;67.60433855;67.20420493;66.5191095;69.20973272;68.5702544;71.48556684;74.21397174;76.48654803;78.34280876;78.76921243;78.12743138;82.53879947;77.18325586;80.84704152;81.98517849;81.54773044;83.20327228;85.94939516;82.03649912;82.59398865;82.780823;83.15134557;83.31309784;85.00832839;85.09691684;;
Brazil;BRA;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;43.65431582;45.37713216;49.29393185;50.81095863;52.11019923;54.14728921;54.12207261;56.37160663;56.34683558;54.80135232;52.90683019;52.55057472;49.6534027;47.40273205;48.2133632;50.00810055;49.50270933;49.97924017;49.83301128;51.21583027;51.95474511;52.68438588;53.26424997;53.26589456;54.60825221;56.26743393;56.68118402;57.34050814;57.28867439;58.23206392;58.94968977;57.15399761;54.64132844;54.6982243;54.25232116;53.42288665;52.66063862;52.56946061;51.31845738;53.48535998;54.56659203;56.54666376;58.02106809;;
Barbados;BRB;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;0;0;0;;;;;;;;
Brunei Darussalam;BRN;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;91.05489707;91.37081008;95.8127328;97.69178696;98.24545053;98.74276395;98.90485151;98.90083375;99.01330119;99.30294898;99.33121718;99.42918616;99.50801909;99.61514168;99.67310818;99.67353395;99.7264355;99.72447581;99.80903731;99.86999736;99.92175021;99.96137488;;;100;;;;;;;99.9999073;100;100;100;100;100;;99.99993427;;99.99563633;99.9955353;99.99437899;;
Bhutan;BTN;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;0;0;0;;;;;;;;
Botswana;BWA;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;50.97741492;50.83979965;48.82302333;47.92653759;48.67874113;51.44908168;53.93444179;54.89192202;56.65302917;64.83448563;62.16777964;65.3100088;63.96703942;61.95490733;63.05320083;60.17227447;60.63283851;63.70149532;64.85003416;65.11338653;64.7836332;65.37722141;64.14482681;65.6905938;66.83188661;66.87958942;66.18897632;67.01720121;63.50685537;66.3467042;64.90731251;64.18966931;69.13082926;;
Central African Republic;CAF;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;CAN;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;83.19244103;83.65489981;84.33321619;85.34441854;85.42013111;86.21466225;85.66560059;85.79769943;85.7581427;85.26079335;84.66224173;84.1541543;84.02431778;82.79334872;82.20550435;84.0544383;83.3043131;82.51579585;81.22728546;81.42941615;80.56398301;79.51384386;79.06654511;77.00906144;76.84892407;75.4065927;73.56401829;73.79490756;74.02295139;75.05195139;74.5654914;73.20151214;74.26449387;73.43413461;72.55128204;73.4879396;73.9735299;75.38249242;76.71365517;76.30764221;76.75813467;76.78947294;75.86010909;77.11976761;75.90305354;74.88653104;74.30177252;74.59808777;74.16554469;73.63932509;73.7859274;73.42628541;73.62271422;72.18464079;72.31406448;
Central Europe and the Baltics;CEB;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;98.24690312;98.30405989;98.39621715;98.42085721;98.51842371;97.81227336;97.80813346;97.73769234;97.84306046;97.69032809;97.99588636;97.75131941;97.64559402;97.75988318;97.52833948;97.54786411;97.46301961;96.94853306;97.24783529;97.48717969;97.11355254;96.55742896;96.55668898;96.21906218;95.74603926;95.01893745;94.51202461;94.02746948;93.29783739;93.22472289;89.4009056;89.00188212;88.76499547;87.9251309;87.20566002;87.03323016;86.60299797;85.94321771;85.69740856;85.42130987;84.95170172;84.93582499;84.15228809;84.20798932;83.52147197;83.4597411;83.63183228;83.31001087;81.93277367;80.15329707;80.38317612;80.23336861;78.70590359;77.59900723;;
Switzerland;CHE;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;74.57197874;74.78409834;76.01773393;79.56278539;78.69407429;79.51754083;80.04156411;80.59900384;81.81739015;82.14126553;82.01686289;82.84331573;80.77061716;78.92757799;76.48087038;75.18150929;75.61733226;75.03131515;74.19336681;70.5441488;68.40055679;65.79670372;64.34925893;65.60011736;63.10152148;60.78701991;61.78010412;59.89166127;60.1091478;58.75921407;58.47593104;58.67157466;58.75569457;57.53134696;57.52324242;55.88798187;56.1350981;57.20399436;56.88829482;55.8108593;54.36524705;56.02719802;54.45987481;53.78493283;53.97435698;55.46973699;53.83390667;51.47786183;52.49262216;53.22401593;51.54446434;50.3754614;50.91397003;52.12290429;48.7014596;
Channel Islands;CHI;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;79.21791114;79.08091414;78.75129728;76.98014634;74.33107288;74.66038248;74.34558106;73.67666977;74.35713516;73.93812573;73.99479201;70.22013963;68.43689793;68.27018631;66.81436034;66.70517494;65.91298983;69.30602801;73.8084514;72.15647687;68.03674236;66.35600413;68.074028;69.82379099;70.00781441;72.39165888;74.6555643;75.52716036;77.1642196;74.51149695;73.10697125;73.20071836;74.56344116;75.18353618;74.24470723;74.00914851;76.0264465;75.18426695;73.47402668;77.60667223;76.67911718;70.03944215;68.6441394;67.53990646;
China;CHN;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;59.89934276;60.85957398;61.32466204;61.43695949;64.43581417;65.07885894;67.4793439;69.63723212;69.65960607;69.07472949;68.38124887;68.8731857;69.60648101;71.16390607;71.56748106;72.22460589;73.23571056;74.23521668;74.31739395;75.70916065;74.8319676;75.43198361;76.46878729;77.04504013;78.42661749;78.99625091;78.94508054;79.01651938;79.42962624;80.33378994;80.32878796;81.13216396;83.1096953;84.79234537;85.57456894;86.52788206;86.79314137;86.4657959;87.0287905;87.52070803;88.17761019;87.90688395;88.13723309;;
Cote d'Ivoire;CIV;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;33.22857771;34.60015547;34.66779137;34.92372289;35.83681302;38.47662224;37.8404912;39.93790091;37.1278739;34.42606438;30.9911822;28.32559159;25.91794932;26.21690705;24.94553321;30.38335536;29.866598;28.36451752;27.58919304;23.70435049;23.32147422;27.59821797;28.55316939;28.24525708;25.15002986;32.01815313;32.10809865;30.82691939;40.89197809;37.13014926;34.29839715;37.84871563;32.50144051;24.9305733;25.39125672;21.44916428;24.25328525;24.61665796;22.71780363;23.23150743;20.86776164;24.68015408;25.63464291;;
Cameroon;CMR;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;9.007099698;9.219129606;9.372550566;9.472073038;11.39082342;10.4711911;14.06814118;14.35613312;15.03942305;15.57228607;16.52780829;17.77061847;18.60923336;19.17678584;20.01407447;19.27247696;18.82242346;19.16950949;19.92277549;18.7105213;17.38854825;16.11054363;16.65420131;16.90453879;16.07419445;15.68953898;16.15444972;16.36026926;14.6517909;16.30728639;15.52265808;15.80998931;16.6436779;16.68403976;15.32729712;17.04219421;28.88515826;27.62178047;30.89290482;31.16396337;26.72890003;27.35216278;29.27939751;;
Congo; Rep.;COG;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;37.72044364;38.42533528;37.6515786;37.32112572;36.86921836;41.32730961;37.176024;38.21706902;36.87063709;37.64920761;38.15838283;39.63768255;43.6557997;40.21029544;40.92493408;38.33134313;37.68925001;33.67194563;34.76794807;33.26990364;33.14958732;31.87258581;31.28642442;22.97154466;26.97063798;22.03410396;18.44732422;15.95268999;15.93271964;25.44137013;28.61244068;23.34006336;32.42234223;31.27410318;32.70642939;28.64293955;35.03792291;35.02948448;39.83332134;41.51816043;36.44271135;36.81910971;37.01676031;
Colombia;COL;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;63.93817814;68.04917759;70.70627608;72.38077589;66.99821995;67.99609002;67.99908011;66.02674942;63.97864331;66.33361802;67.03205163;66.76910379;67.7744744;67.35088966;66.48772761;67.82561328;67.70264122;67.4781753;66.59543128;67.37966457;68.22121389;70.80867713;70.36132127;69.18074733;69.51032207;69.90407976;75.85067815;77.26166214;73.52906728;76.01413926;76.67612827;74.94785653;73.97276515;74.9256406;75.92287113;75.27958214;74.41022167;74.9778164;77.30712698;76.95310387;75.71843548;75.58451455;75.79820128;;
Comoros;COM;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;0;0;0;;;;;;;;
Cabo Verde;CPV;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;0;0;0;;;;;;;;
Costa Rica;CRI;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;58.36327246;58.52394943;61.09854394;59.33437218;61.23923894;59.57052452;65.04563285;65.64300124;65.00381905;60.55981246;56.1841174;55.03818295;53.00024234;52.15946194;53.12470557;53.35544144;54.70358346;54.54515915;58.37002559;58.50198508;59.39239943;58.76441408;58.57040387;57.93665153;59.11786289;57.12064275;58.66153084;63.72876919;61.00568975;59.02715912;57.18037874;54.98618981;56.59465626;47.9928658;46.89102785;47.72020792;49.06389155;48.9982241;48.07062372;47.51590421;48.26480979;47.82932255;48.96647406;;
Caribbean small states;CSS;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;93.22136076;93.89926325;95.04270212;94.40536864;94.27678213;94.17487666;94.9141222;95.1967833;95.87799883;95.8413509;96.03599651;95.66768622;95.75782823;95.55581397;95.67720015;95.54890362;95.24556162;95.65329129;95.22254796;74.38423047;93.78373073;94.27579363;94.26770662;94.12792322;94.38092235;94.92104963;94.56596409;95.5348893;95.90429288;95.5360556;96.49296245;97.18768983;97.45905345;84.03145995;85.0206989;86.23617167;86.79436357;97.65000645;97.4330531;97.8999295;97.73011802;97.67143578;97.66061429;;
Cuba;CUB;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;61.71414312;63.66343775;64.91773755;65.76865926;66.02549579;67.77199357;68.04698225;66.89201712;67.19235841;69.04031829;67.8816431;67.46603169;69.55924937;67.71887481;68.73340888;67.76557414;68.82716221;67.45765314;66.09892782;60.4892994;57.94674446;53.19775147;59.5291539;60.92116527;67.28375063;65.70349912;67.78493342;70.4633542;69.32851904;69.88997848;68.83141278;71.61012755;74.2962554;74.93073875;80.10630079;83.64289723;84.55396673;86.5238415;87.74217447;88.76114902;86.61783388;85.83993448;87.33428683;;
Curacao;CUW;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;100;;;;;;;99.99997306;;;;;;99.99993372;;;;;;100;;100;99.99992169;;100;;99.99995797;;99.99990264;;100;;100;99.99990841;;;100;;100;99.99995132;99.99987693;;99.99994491;;
Cayman Islands;CYM;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cyprus;CYP;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;98.44641115;98.77812876;98.83342925;99.30841867;98.89190888;98.79225177;98.89108152;98.92042533;98.97673773;99.27635376;99.29127543;99.3027645;99.35470618;99.28565412;99.2675845;99.35269357;99.45103104;99.5024201;99.52187285;99.55043982;99.60232746;99.64979694;99.67524793;99.27721577;97.36608426;97.59309465;97.58644257;97.6772923;97.69161926;97.8604881;97.82739383;97.77565525;97.81017484;97.50079665;97.43157066;97.50689329;96.71664611;96.1058446;95.78148443;95.39065382;94.89409483;94.16552487;92.99080984;;
Czech Republic;CZE;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;99.42076379;99.71669394;99.79184298;99.31974064;99.59176075;99.75184793;;;99.73170272;99.62386722;99.72403736;99.89224581;99.87488161;99.32000947;98.35460776;96.58905688;94.20421468;93.82591985;93.40509882;91.62584689;91.7465883;90.47874402;89.70098405;88.48359884;89.26306987;89.26163926;89.55314042;88.81523707;87.93101343;89.96283546;89.02093783;86.87193923;84.24960425;83.69024338;83.67512072;82.97817308;83.06227734;81.37049258;79.62623725;79.62786128;78.58209104;76.72751956;75.19432786;75.28189096;
Germany;DEU;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;99.02015892;99.04098584;99.19266889;99.30220699;99.39761102;99.10230936;98.8661359;98.77118597;98.78219798;98.63853601;97.86699031;98.05888165;97.65361239;97.62143893;97.1826929;96.22976002;96.33004313;95.20012737;95.1884251;94.83350375;94.09208559;92.97445558;91.96987316;91.65331348;90.06462342;87.92519035;88.65357083;87.90540584;86.91009483;86.45118434;86.83788464;87.09636477;85.95284872;86.00930916;86.02180942;85.81095471;85.90869753;84.62946066;84.92246199;83.93137164;83.62197514;83.60503302;83.27815679;83.18231409;82.56569087;81.85342088;81.26910487;81.27202873;80.80231443;79.96812673;79.56099723;80.37020876;80.62522298;81.10033533;80.02391217;
Djibouti;DJI;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;0;0;0;;;;;;;;
Dominica;DMA;Fossil fuel energy consumption (% of total);EG.USE.COMM.FO.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;0;0;0;;;;;;;;
